miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
AtmapuShTi	AtmapuShTi,NP,0,0,n,n#
padArthakhaNDa	padArthakhaNDa,NP,0,0,n,n#
nArIpiChu	nArIpiChu,NP,0,0,n,n#
oYAshArira	oYAshArira,NP,0,0,n,n#
sAmyabhAba	sAmyabhAba,NP,0,0,n,n#
pashchAd	pashchAd,NP,0,0,n,n#
kalAbaibhaba	kalAbaibhaba,NP,0,0,n,n#
si.nhAbalokana	si.nhAbalokana,NP,0,0,n,n#
kurchAsane	kurchAsane,NP,0,0,n,n#
parisa.nkhyana	parisa.nkhyana,NP,0,0,n,n#
loYArA	loYArA,NP,0,0,n,n#
myAkabetharUpI	myAkabetharUpI,NP,0,0,n,n#
phoTogrAphia-abhidhAna	phoTogrAphia-abhidhAna,NP,0,0,n,n#
dIrghashiraska	dIrghashiraska,NP,0,0,n,n#
chaturea-chaturea	chaturea-chaturea,NP,0,0,n,n#
bhArgabI	bhArgabI,NC,sg,0,n,n#bhArgabI,NP,sg,0,n,n#bhArgabI,NV,0,n,n#
parIkShArthIrAi	parIkShArthIrAi,NP,0,0,n,n#
bidAYera	bidA,NC,sg,0,n,n#bidA,NV,0,n,n#bidA,NP,sg,0,n,n#
humalA	humalA,NP,0,0,n,n#
tArANA	tArANA,NP,0,0,n,n#
niryAtitadera	niryAtitadera,NP,0,0,n,n#
kiTui	kiTui,NP,0,0,n,n#
musalima-birodhI	musalima-birodhI,NP,0,0,n,n#
nATasa	nATasa,NP,0,0,n,n#
kShamatAlobhIrA	kShamatAlobhIrA,NP,0,0,n,n#
shArada-sammAna	shArada-sammAna,NP,0,0,n,n#
mujatabA	mujatabA,NP,0,0,n,n#
pau.NChilena	pau.NChilena,NP,0,0,n,n#
triguNAcharaNa	triguNAcharaNa,NP,0,0,n,n#
gherAbandi	gherAbandi,NP,0,0,n,n#
kraTitei	kraTitei,NP,0,0,n,n#
abhAbanIYabhAbe	abhAbanIYabhAbe,NP,0,0,n,n#
antardhAnea	antardhAnea,NP,0,0,n,n#
menadhare	menadhare,NP,0,0,n,n#
amitao	amitao,NP,0,0,n,n#
dAga-a-ei	dAga-a-ei,NP,0,0,n,n#
sArabhisi¬era	sArabhisi¬era,NP,0,0,n,n#
yea-humakii	yea-humakii,NP,0,0,n,n#
kalipharmera	kalipharmera,NP,0,0,n,n#
thArmokalera	thArmokalera,NP,0,0,n,n#
makso	makso,NP,0,0,n,n#
uribera	uribera,NP,0,0,n,n#
gItA~njalia-te	gItA~njalia-te,NP,0,0,n,n#
Chu.DaChena	Cho.DA,VM,3,prs,prg,dcl,fin,n,n,y#Cho.DA,VAUX,3,prs,prg,dcl,fin,n,n,y#
uchchakakSha	uchchakakSha,NP,0,0,n,n#
pustikAa	pustikAa,NP,0,0,n,n#
ma~nchAbhinaYe	ma~nchAbhinaYe,NP,0,0,n,n#
jA.NkajamakapUrNa	jA.NkajamakapUrNa,NP,0,0,n,n#
byANDao	byANDao,NP,0,0,n,n#
jaYatunia	jaYatunia,NP,0,0,n,n#
lunAra	lunAra,NP,0,0,n,n#
sAloYAra-kAmijera	sAloYAra-kAmijera,NP,0,0,n,n#
antara~Ngea	antara~Ngea,NP,0,0,n,n#
belatua	belatua,NP,0,0,n,n#
nirnimeShanaYane	nirnimeShanaYane,NP,0,0,n,n#
shatakare	shatakare,NP,0,0,n,n#
pApa.Dia-bRRiShTi	pApa.Dia-bRRiShTi,NP,0,0,n,n#
deshalAiera	deshalAiera,NP,0,0,n,n#
pAralei	pAralei,NP,0,0,n,n#
yea-khelAra	yea-khelAra,NP,0,0,n,n#
cheko	cheko,NP,0,0,n,n#
slAbhika	slAbhika,NP,0,0,n,n#
ri?Asiori.n	ri?Asiori.n,NP,0,0,n,n#
sha~NkumukhI	sha~NkumukhI,NP,0,0,n,n#
dAYabodha	dAYabodha,NP,0,0,n,n#
prANatoShaNIte	prANatoShaNIte,NP,0,0,n,n#
sarbabahistha	sarbabahistha,NP,0,0,n,n#
miTiYeChila	meTAno,VM,3,pst,pft,dcl,fin,n,n,n#meTAno,VAUX,3,pst,pft,dcl,fin,n,n,n#
nAa-AnAYa	nAa-AnAYa,NP,0,0,n,n#
....(chalabea	....(chalabea,NP,0,0,n,n#
prItama	prItama,NP,0,0,n,n#
shubhajitdera	shubhajitdera,NP,0,0,n,n#
jIbatsa	jIbatsa,NP,0,0,n,n#
kuDye	kuDye,NP,0,0,n,n#
dudhArake	dudhArake,NP,0,0,n,n#
si.NduraTi.Ndura	si.NduraTi.Ndura,NP,0,0,n,n#
nirmalabAbuke	nirmalabAbuke,NP,0,0,n,n#
lakShaNaguloi	lakShaNa,NC,pl,0,y,n#lakShaNa,NV,0,y,n#
ghA.NATAYa	ghA.NATAYa,NP,0,0,n,n#
yugalasammilane	yugalasammilane,NP,0,0,n,n#
ethanomyAniYAa	ethanomyAniYAa,NP,0,0,n,n#
'manirula	'manirula,NP,0,0,n,n#
sAikiYATri	sAikiYATri,NP,0,0,n,n#
chiThiTiteo	chiThiTiteo,NP,0,0,n,n#
kAmarUpa-lAgoYA	kAmarUpa-lAgoYA,NP,0,0,n,n#
enajina	enajina,NV,0,n,n#enajina,NP,sg,0,n,n#enajina,NC,sg,0,n,n#
maliTara	maliTara,NP,0,0,n,n#
melAchChilAma	melAno,VAUX,1,pst,prg,dcl,fin,n,n,n#melAno,VM,1,pst,prg,dcl,fin,n,n,n#
bikikinira	bikikini,NC,sg,gen,n,n#bikikini,NP,sg,gen,n,n#bikikini,NV,gen,n,n#
kramaTi	kramaTi,NP,0,0,n,n#
adhItIa	adhItIa,NP,0,0,n,n#
parnogrAphia'ra	parnogrAphia'ra,NP,0,0,n,n#
badhUTio	badhUTio,NP,0,0,n,n#
rAThaoYA	rAThaoYA,NP,0,0,n,n#
Dhu.N.Dte	Dhu.N.Dte,NP,0,0,n,n#
yaunanaitika	yaunanaitika,NP,0,0,n,n#
gAilena-a-a'AmAra	gAilena-a-a'AmAra,NP,0,0,n,n#
Urdhbatana	Urdhbatana,JQ,n,n,nnm#Urdhbatana,JJ,n,n#
hAsia-khelA	hAsia-khelA,NP,0,0,n,n#
syararA	syara,NV,0,n,n#syara,NC,pl,0,n,n#syara,NP,pl,0,n,n#
pAtharachApi	pAtharachApi,NP,0,0,n,n#
shirIShera	shirISha,NV,gen,n,n#shirISha,NC,sg,gen,n,n#shirISha,NP,sg,gen,n,n#
lAlalalita	lAlalalita,NP,0,0,n,n#
uchchashikShAYao	uchchashikShAYao,NP,0,0,n,n#
imadAdula	imadAdula,NP,0,0,n,n#
nAlagoNDA	nAlagoNDA,NP,0,0,n,n#
sbIkAro	sbIkAro,NP,0,0,n,n#
narama-pAka	narama-pAka,NP,0,0,n,n#
putreShTi	putreShTi,NC,sg,0,n,n#putreShTi,NV,0,n,n#putreShTi,NP,sg,0,n,n#
riDArerA	riDArerA,NP,0,0,n,n#
chibukAsthi	chibukAsthi,NP,0,0,n,n#
khAmAra	khAmAra,NC,sg,0,n,n#khAmAra,NV,0,n,n#khAmAra,NP,sg,0,n,n#
AYojana.'	AYojana.',NP,0,0,n,n#
sampAdakaYIra	sampAdakaYIra,NP,0,0,n,n#
saptasbarera	saptasbara,NC,sg,gen,n,n#saptasbara,NP,sg,gen,n,n#saptasbara,NV,gen,n,n#
jAgata	jAgA,VAUX,3,prs,pft,dcl,fin,n,n,n#jAgA,VM,3,prs,pft,dcl,fin,n,n,n#
nAsi.nhome	nAsi.nhome,NP,0,0,n,n#
mAsTArO	mAsTArO,NP,0,0,n,n#
shUdrANIra	shUdrANI,NV,gen,n,n#shUdrANI,NP,sg,gen,n,n#shUdrANI,NC,sg,gen,n,n#
hA.NkiYeChe	hA.NkAno,VAUX,3,prs,pft,dcl,fin,n,n,n#hA.NkAno,VM,3,prs,pft,dcl,fin,n,n,n#
dua-chAriTA	dua-chAriTA,NP,0,0,n,n#
kAnnAa-saha	kAnnAa-saha,NP,0,0,n,n#
maNipura-	maNipura-,NP,0,0,n,n#
balena,a'a'Alipurera	balena,a'a'Alipurera,NP,0,0,n,n#
AYe~NgArake	AYe~NgArake,NP,0,0,n,n#
ra.ndhAmAli	ra.ndhAmAli,NP,0,0,n,n#
Teliphona	Teliphona,NV,0,n,n#Teliphona,NP,sg,0,n,n#Teliphona,NC,sg,0,n,n#
duShkRRitIa-tANDaba	duShkRRitIa-tANDaba,NP,0,0,n,n#
nRRipenabAbura	nRRipenabAbura,NP,0,0,n,n#
shilachare	shilachare,NP,0,0,n,n#
bhA.N.DapaTTira	bhA.N.DapaTTira,NP,0,0,n,n#
garibadaradI	garibadaradI,NP,0,0,n,n#
apara	apara,JQ,n,n,nnm#apara,NV,0,n,n#apara,NC,sg,0,n,n#apara,PP,0,n#apara,NST,0,n,n#apara,JJ,n,n#apara,NP,sg,0,n,n#
jAtapAta-birodhI	jAtapAta-birodhI,NP,0,0,n,n#
nirdesha'a-era	nirdesha'a-era,NP,0,0,n,n#
kAjAkha	kAjAkha,NP,0,0,n,n#
jalamahala	jalamahala,NP,0,0,n,n#
pUrNayAtrA	pUrNayAtrA,NP,0,0,n,n#
bhia'a-era	bhia'a-era,NP,0,0,n,n#
deshIi	deshIi,NP,0,0,n,n#
rAgabirodha	rAgabirodha,NP,0,0,n,n#
godhrAa-kANDera	godhrAa-kANDera,NP,0,0,n,n#
se~nchuriYanei	se~nchuriYanei,NP,0,0,n,n#
prajAbikShobha	prajAbikShobha,NP,0,0,n,n#
kbachit	kbachit,NP,0,0,n,n#
la~nche	la~nche,NP,0,0,n,n#
muktipaNa-AdAYa	muktipaNa-AdAYa,NP,0,0,n,n#
'DArabAnera	'DArabAnera,NP,0,0,n,n#
sANDelabila	sANDelabila,NP,0,0,n,n#
thegAria	thegAria,NP,0,0,n,n#
chiThitea-a-	chiThitea-a-,NP,0,0,n,n#
bAmedera	bAmedera,NP,0,0,n,n#
AkArea-i~Ngitea	AkArea-i~Ngitea,NP,0,0,n,n#
'damadame	'damadame,NP,0,0,n,n#
'bhA~NAchorAa	'bhA~NAchorAa,NP,0,0,n,n#
shubhadIpera	shubhadIpera,NP,0,0,n,n#
jalAa-bharATa	jalAa-bharATa,NP,0,0,n,n#
oYA~Ngakheia	oYA~Ngakheia,NP,0,0,n,n#
'kAnADAra	'kAnADAra,NP,0,0,n,n#
yea-bahara	yea-bahara,NP,0,0,n,n#
pratnatattba-bishArada	pratnatattba-bishArada,NP,0,0,n,n#
kyApriYetira	kyApriYetira,NP,0,0,n,n#
bholAga.Da	bholAga.Da,NP,0,0,n,n#
dRRiShTia-biralatA	dRRiShTia-biralatA,NP,0,0,n,n#
'hA.NTaba	'hA.NTaba,NP,0,0,n,n#
pratyAhata	pratyAhata,JQ,n,n,nnm#pratyAhata,JJ,n,n#
DAktAra-dampati	DAktAra-dampati,NP,0,0,n,n#
ajasratA	ajasratA,NP,0,0,n,n#
pAkhimArAdera	pAkhimArAdera,NP,0,0,n,n#
janasabhAsthala	janasabhAsthala,NP,0,0,n,n#
larira	lari,NC,sg,gen,n,n#lari,NP,sg,gen,n,n#lari,NV,gen,n,n#
ei.i	ei.i,NP,0,0,n,n#
e.DAibea	e.DAibea,NP,0,0,n,n#
nakalakupera	nakalakupera,NP,0,0,n,n#
sarbajanagrAhyatAra	sarbajanagrAhyatAra,NP,0,0,n,n#
deshadrohitA	deshadrohitA,NP,0,0,n,n#
hArAnoYa	hArAnoYa,NP,0,0,n,n#
uThataia	uThataia,NP,0,0,n,n#
sena-saha	sena-saha,NP,0,0,n,n#
kRRiShipradhAna	kRRiShipradhAna,NP,0,0,n,n#
mahAsthAne	mahAsthAna,NC,sg,0,n,n#mahAsthAna,NV,0,n,n#mahAsthAna,NP,sg,0,n,n#
plAjAa'a-a-	plAjAa'a-a-,NP,0,0,n,n#
oriYenTa	oriYenTa,NP,0,0,n,n#
mahAshaktidera	mahAshakti,NC,pl,gen,n,n#mahAshakti,NV,gen,n,n#mahAshakti,NP,pl,gen,n,n#
anurUpabAbu	anurUpabAbu,NP,0,0,n,n#
Asatye	Asatye,NP,0,0,n,n#
jehAnAbAda	jehAnAbAda,NP,0,0,n,n#
nimnagAmIa-a-	nimnagAmIa-a-,NP,0,0,n,n#
sbAYattbashAsanera	sbAYattbashAsanera,NP,0,0,n,n#
ka.DiYA	ka.DiYA,NP,0,0,n,n#
bodhaTAkeo	bodhaTAkeo,NP,0,0,n,n#
'myAkabetha	'myAkabetha,NP,0,0,n,n#
bA.Nchena	bA.NchA,VM,2,prs,prg,dcl,fin,n,n,n#bA.NchA,VAUX,2,prs,prg,dcl,fin,n,n,n#
shi.njana	shi.njana,NP,sg,0,n,n#shi.njana,NV,0,n,n#shi.njana,NC,sg,0,n,n#
mese~njAra'a	mese~njAra'a,NP,0,0,n,n#
sampAdakIYateo	sampAdakIYateo,NP,0,0,n,n#
'ApAtadRRiShTite	'ApAtadRRiShTite,NP,0,0,n,n#
nAa-mA.DiYe	nAa-mA.DiYe,NP,0,0,n,n#
pho.NTArao	pho.NTArao,NP,0,0,n,n#
nArIa-pAchArera	nArIa-pAchArera,NP,0,0,n,n#
jyotirmaYI	jyotirmaYI,JQ,n,n,nnm#jyotirmaYI,JJ,n,n#
biparIta-dharmI	biparIta-dharmI,NP,0,0,n,n#
holDhi.ndera	holDhi.ndera,NP,0,0,n,n#
dukhatArAna-ia-mujAhidina	dukhatArAna-ia-mujAhidina,NP,0,0,n,n#
giridhArI	giridhArI,NP,0,0,n,n#
TrelAraTira	TrelAraTira,NP,0,0,n,n#
bA~NAlinI	bA~NAlinI,NV,0,n,n#bA~NAlinI,NC,sg,0,n,n#bA~NAlinI,NP,sg,0,n,n#bA~NAlinI,JJ,n,n#bA~NAlinI,JQ,n,n,nnm#
AghAtaprApti	AghAtaprApti,NP,0,0,n,n#
'guNDAa-mAphiYA	'guNDAa-mAphiYA,NP,0,0,n,n#
sArasaTAke	sArasa,NC,sg,acc,y,n#sArasa,NV,acc,y,n#
nAa-dekhAYa	nAa-dekhAYa,NP,0,0,n,n#
paTuYApA.DAYa	paTuYApA.DAYa,NP,0,0,n,n#
sainyasajjA	sainyasajjA,NP,0,0,n,n#
gAoskara-kapilarA	gAoskara-kapilarA,NP,0,0,n,n#
asAdhyasAdhane	asAdhyasAdhana,NP,sg,0,n,n#asAdhyasAdhana,NV,0,n,n#asAdhyasAdhana,NC,sg,0,n,n#
gItAbhAShya	gItAbhAShya,NP,0,0,n,n#
bukia	bukia,NP,0,0,n,n#
jalea-a-	jalea-a-,NP,0,0,n,n#
bhinaseNTara	bhinaseNTara,NP,0,0,n,n#
mAdhabI	mAdhabI,NV,0,n,n#mAdhabI,NC,sg,0,n,n#mAdhabI,NP,sg,0,n,n#
athasampatti	athasampatti,NP,0,0,n,n#
rmuyAla	rmuyAla,NP,0,0,n,n#
rAgarUpaTi	rAgarUpaTi,NP,0,0,n,n#
siddhAntaTAi	siddhAntaTAi,NP,0,0,n,n#
biShaYabastumAtri	biShaYabastumAtri,NP,0,0,n,n#
bhittichitradharmI	bhittichitradharmI,NP,0,0,n,n#
stambhalagna	stambhalagna,NP,0,0,n,n#
babhrubAhana	babhrubAhana,NC,sg,0,n,n#babhrubAhana,NP,sg,0,n,n#babhrubAhana,NV,0,n,n#
sabajibAgAna	sabajibAgAna,NP,0,0,n,n#
kanaphiNDensa	kanaphiNDensa,NP,0,0,n,n#
sAplAia-e	sAplAia-e,NP,0,0,n,n#
je.Nkea-basA	je.Nkea-basA,NP,0,0,n,n#
paribahaNake	paribahaNake,NP,0,0,n,n#
santrAsa-tAlikAYa	santrAsa-tAlikAYa,NP,0,0,n,n#
tAhAia,a-a-	tAhAia,a-a-,NP,0,0,n,n#
mahAlShmI	mahAlShmI,NP,0,0,n,n#
mAlaYAlama-ba~NgasAhitya	mAlaYAlama-ba~NgasAhitya,NP,0,0,n,n#
apArthibera	apArthibera,NP,0,0,n,n#
nAoYAnako	nAoYAnako,NP,0,0,n,n#
chalAchalA	chalAchalA,NP,0,0,n,n#
kAlAnukrame	kAlAnukrame,NP,0,0,n,n#
tapata	tapata,NP,0,0,n,n#
stanabistAra	stanabistAra,NP,0,0,n,n#
bibAdaTite	bibAdaTite,NP,0,0,n,n#
yeadhika	yeadhika,NP,0,0,n,n#
TuTubAbu	TuTubAbu,NP,0,0,n,n#
phleshArera	phleshArera,NP,0,0,n,n#
yubA	yubA,JJ,n,n#yubA,JQ,n,n,nnm#yubA,NV,0,n,n#yubA,NP,sg,0,n,n#yubA,NC,sg,0,n,n#
DonArsera	DonArsera,NP,0,0,n,n#
rasona	rasona,NV,0,n,n#rasona,NP,sg,0,n,n#rasona,NC,sg,0,n,n#
chApApa.De	chApApa.De,NP,0,0,n,n#
raphatAnimukhIa	raphatAnimukhIa,NP,0,0,n,n#
kAgaja-kalame	kAgaja-kalame,NP,0,0,n,n#
hAsisa	hAsA,VM,2,prs,prg,dcl,fin,n,n,n#hAsA,VAUX,2,prs,sim,dcl,fin,n,n,n#hAsA,VM,2,prs,sim,dcl,fin,n,n,n#hAsA,VAUX,2,prs,prg,dcl,fin,n,n,n#
konaoa-konao	konaoa-konao,NP,0,0,n,n#
ThuTArapA.DA	ThuTArapA.DA,NP,0,0,n,n#
AkrAmula	AkrAmula,NP,0,0,n,n#
praYogAbhAbe	praYogAbhAbe,NP,0,0,n,n#
speshAlAija	speshAlAija,NP,0,0,n,n#
apUrNA~Nga	apUrNA~Nga,NP,0,0,n,n#
AmantriterA	AmantriterA,NP,0,0,n,n#
paka.DAo	paka.DAo,NP,0,0,n,n#
jArnAlao	jArnAlao,NP,0,0,n,n#
sAdhaChea,tA	sAdhaChea,tA,NP,0,0,n,n#
pathachitra	pathachitra,NP,0,0,n,n#
cheShTAte	cheShTA,NV,loc,n,n#cheShTA,NC,sg,loc,n,n#
bidyAlaYasamuhe	bidyAlaYasamuhe,NP,0,0,n,n#
pUNA~Nga	pUNA~Nga,NP,0,0,n,n#
lu~NgIparA	lu~NgIparA,NP,0,0,n,n#
chAmarAjanagara	chAmarAjanagara,NP,0,0,n,n#
pratirakShAa-chuktia	pratirakShAa-chuktia,NP,0,0,n,n#
phariYAdii	phariYAdi,NP,0,0,n,n#phariYAdi,NV,0,n,n#phariYAdi,NC,0,0,n,n#
kAryai	kAryai,NP,0,0,n,n#
Abeshe	Abesha,NC,sg,0,n,n#Abesha,NV,0,n,n#Abesha,NP,sg,0,n,n#
heDamisaTresa	heDamisaTresa,NP,0,0,n,n#
phArinA	phArinA,NP,0,0,n,n#
mehanati	mehanati,NP,sg,0,n,n#mehanati,JJ,n,n#mehanati,JQ,n,n,nnm#mehanati,NC,sg,0,n,n#mehanati,NV,0,n,n#
kAmArapA.DAa	kAmArapA.DAa,NP,0,0,n,n#
mohanabagAna	mohanabagAna,NP,0,0,n,n#
sarabarAhao	sarabarAha,NC,0,0,n,n#sarabarAha,NV,0,n,n#sarabarAha,NP,0,0,n,n#
rAjakanyAke	rAjakanyA,NV,acc,n,n#rAjakanyA,NC,sg,acc,n,n#rAjakanyA,NP,sg,acc,n,n#
sebAdAsIa'ra	sebAdAsIa'ra,NP,0,0,n,n#
sa.nbidhAnabiruddha	sa.nbidhAnabiruddha,NP,0,0,n,n#
yYAnTiTaksin	yYAnTiTaksin,NP,0,0,n,n#
a~Na	a~Na,NP,0,0,n,n#
rAjamistrirA	rAjamistri,NV,0,n,n#rAjamistri,NP,pl,0,n,n#rAjamistri,NC,pl,0,n,n#
eshiYADai	eshiYADai,NP,0,0,n,n#
dRRiShTipradIpa	dRRiShTipradIpa,NP,0,0,n,n#
Trena-yAtrAYa	Trena-yAtrAYa,NP,0,0,n,n#
blyAkaAuTa	blyAkaAuTa,NP,0,0,n,n#
shaibAlinI	shaibAlinI,NP,0,0,n,n#
yYAprikaTa	yYAprikaTa,NP,0,0,n,n#
shramikasbArtha-birodhI	shramikasbArtha-birodhI,NP,0,0,n,n#
mausumIbAYura	mausumIbAYura,NP,0,0,n,n#
sa~NketabAhI	sa~NketabAhI,NP,0,0,n,n#
khoYAraDA~NAYa	khoYAraDA~NAYa,NP,0,0,n,n#
ilekaTrosTila	ilekaTrosTila,NP,0,0,n,n#
jAmitula-ulemAra	jAmitula-ulemAra,NP,0,0,n,n#
po.DaoYAla	po.DaoYAla,NP,0,0,n,n#
mAtAnoa-a-	mAtAnoa-a-,NP,0,0,n,n#
'mArio	'mArio,NP,0,0,n,n#
uiliYame	uiliYame,NP,0,0,n,n#
bhaTTAchAryapA.DAYa	bhaTTAchAryapA.DAYa,NP,0,0,n,n#
jAradelake	jAradelake,NP,0,0,n,n#
ArogyalAbha	ArogyalAbha,NV,0,n,n#ArogyalAbha,NP,sg,0,n,n#ArogyalAbha,NC,sg,0,n,n#
jabarasenera	jabarasenera,NP,0,0,n,n#
mApe	mApA,LC,n,0#mApA,VAUX,2,prs,prg,dcl,fin,n,n,n#mApA,LV,n#mApa,NP,sg,0,n,n#mApA,VM,3,prs,sim,dcl,nfn,n,n,n#mApa,NC,sg,0,n,n#mApA,VM,2,prs,prg,dcl,fin,n,n,n#mApA,VAUX,3,prs,sim,dcl,nfn,n,n,n#mApa,NV,0,n,n#
'lokasAne	'lokasAne,NP,0,0,n,n#
simeNTebA.NdhAno	simeNTebA.NdhAno,NP,0,0,n,n#
bachano	bachano,NP,0,0,n,n#
bipaNanakendrera	bipaNanakendrera,NP,0,0,n,n#
nirmANashailI	nirmANashailI,NP,0,0,n,n#
nATAla	nATAla,NP,0,0,n,n#
A.DAiTAteo	A.DAiTAteo,NP,0,0,n,n#
garadera	gara,NP,pl,gen,n,n#gara,NC,pl,gen,n,n#gara,NV,gen,n,n#
oparatalAYa	oparatalAYa,NP,0,0,n,n#
itihya	itihya,NP,0,0,n,n#
eimArake	eimArake,NP,0,0,n,n#
lejisaleshana	lejisaleshana,NP,0,0,n,n#
shArdUlera	shArdUla,NP,sg,gen,n,n#shArdUla,NC,sg,gen,n,n#shArdUla,NV,gen,n,n#
bipiela	bipiela,NP,0,0,n,n#
tAmulatalAra	tAmulatalAra,NP,0,0,n,n#
?AlArTa	?AlArTa,NP,0,0,n,n#
siganAsera	siganAsera,NP,0,0,n,n#
ChAunia-shahara	ChAunia-shahara,NP,0,0,n,n#
kyAmpAnelAra	kyAmpAnelAra,NP,0,0,n,n#
mahAbidyAa	mahAbidyAa,NP,0,0,n,n#
pramathanAtha	pramathanAtha,NV,0,n,n#pramathanAtha,NP,sg,0,n,n#pramathanAtha,NC,sg,0,n,n#
sUchanAÕshe	sUchanAÕshe,NP,0,0,n,n#
pradeshaTio	pradeshaTio,NP,0,0,n,n#
somendranAtha	somendranAtha,NP,0,0,n,n#
a~NgasajjA	a~NgasajjA,NP,0,0,n,n#
kanabhArasena	kanabhArasena,NP,0,0,n,n#
byA³kasudera	byA³kasudera,NP,0,0,n,n#
rAnnAbAnnAo	rAnnAbAnnAo,NP,0,0,n,n#
bhariYeChi	bharAno,VAUX,1,prs,pft,dcl,fin,n,n,n#bharAno,VM,1,prs,pft,dcl,fin,n,n,n#
hA.NAsaphA.NAsa	hA.NAsaphA.NAsa,NP,0,0,n,n#
biShNupurANera	biShNupurANera,NP,0,0,n,n#
phAulake	phAulake,NP,0,0,n,n#
niShpattira	niShpatti,NP,sg,gen,n,n#niShpatti,NV,gen,n,n#niShpatti,NC,sg,gen,n,n#
bishbakarmAa-saha	bishbakarmAa-saha,NP,0,0,n,n#
DhukAibAra	DhukAibAra,NP,0,0,n,n#
aa-maNipurIo	aa-maNipurIo,NP,0,0,n,n#
nimnasImATA	nimnasImATA,NP,0,0,n,n#
baYana-shilpIdera	baYana-shilpIdera,NP,0,0,n,n#
kyATegari	kyATegari,NP,0,0,n,n#
dhAola	dhAola,NP,0,0,n,n#
sa~Nghita	sa~Nghita,NP,0,0,n,n#
lyATensia	lyATensia,NP,0,0,n,n#
chitrakalAi	chitrakalA,NC,0,0,n,n#chitrakalA,NP,0,0,n,n#chitrakalA,NV,0,n,n#
sahAnubhUtishIladera	sahAnubhUtishIladera,NP,0,0,n,n#
purAtattbabidrA	purAtattbabidrA,NP,0,0,n,n#
mAdakachakra	mAdakachakra,NP,0,0,n,n#
madhurikA	madhurikA,NC,sg,0,n,n#madhurikA,NV,0,n,n#madhurikA,NP,sg,0,n,n#
olasenera	olasenera,NP,0,0,n,n#
'bipAsanA	'bipAsanA,NP,0,0,n,n#
muhurmuha	muhurmuha,NP,0,0,n,n#
shibasainikadera	shibasainikadera,NP,0,0,n,n#
TA~NAnoo	TA~NAnoo,NP,0,0,n,n#
kUmArIa-balira	kUmArIa-balira,NP,0,0,n,n#
pAmea'ra	pAmea'ra,NP,0,0,n,n#
phUliYA	phUliYA,NP,0,0,n,n#
AdArasa	AdArasa,NP,0,0,n,n#
lukiYea-rAkhAa-mATi	lukiYea-rAkhAa-mATi,NP,0,0,n,n#
phakirachA.NdabAbuke	phakirachA.NdabAbuke,NP,0,0,n,n#
surAa-ra	surAa-ra,NP,0,0,n,n#
ChaYeka	ChaYeka,JQ,n,n,nnm#ChaYeka,JJ,n,n#
Ajamii	Ajamii,NP,0,0,n,n#
sunibi.D	sunibi.D,NP,0,0,n,n#
akShe	akSha,NP,sg,0,n,n#akSha,NC,sg,0,n,n#akSha,NV,0,n,n#
prANanA	prANanA,NP,0,0,n,n#
garbAchabha	garbAchabha,NP,0,0,n,n#
chiThi	chiThi,NC,sg,0,n,n#chiThi,NV,0,n,n#chiThi,NP,sg,0,n,n#
shilpa-parichAlana	shilpa-parichAlana,NP,0,0,n,n#
chAkira	chAki,NC,sg,gen,n,n#chAki,NP,sg,gen,n,n#chAki,NV,gen,n,n#
'bhUgarbhera	'bhUgarbhera,NP,0,0,n,n#
yea-bArtA	yea-bArtA,NP,0,0,n,n#
shramaNarA	shramaNa,NC,pl,0,n,n#shramaNa,NP,pl,0,n,n#shramaNa,NV,0,n,n#
alakAsundarI	alakAsundarI,NP,0,0,n,n#
sirAtakei	sirAtakei,NP,0,0,n,n#
DAYonisAsera	DAYonisAsera,NP,0,0,n,n#
khAlagohAa	khAlagohAa,NP,0,0,n,n#
utsagulo	utsa,NC,pl,0,y,n#utsa,NV,0,y,n#
toa-to	toa-to,NP,0,0,n,n#
durghaTanAtei	durghaTanA,NV,loc,n,n#durghaTanA,NC,0,loc,n,n#
bA.NAdhibena	bA.NAdhibena,NP,0,0,n,n#
kAryakalApe	kAryakalApa,NV,0,n,n#kAryakalApa,NC,sg,0,n,n#kAryakalApa,NP,sg,0,n,n#
rabIndrachintAra	rabIndrachintAra,NP,0,0,n,n#
janamati	janamati,NP,0,0,n,n#
praminA	praminA,NP,0,0,n,n#
'kamishanera	'kamishanera,NP,0,0,n,n#
'phonera	'phonera,NP,0,0,n,n#
brena-Drenera	brena-Drenera,NP,0,0,n,n#
dhAtukaNA	dhAtukaNA,NP,0,0,n,n#
rANAmahale	rANAmahale,NP,0,0,n,n#
'rikashAra	'rikashAra,NP,0,0,n,n#
gADA	gADA,NP,0,0,n,n#
hAYadarAbAdira	hAYadarAbAdira,NP,0,0,n,n#
rAikhasa	rAikhasa,NP,0,0,n,n#
jalada	jalada,NV,0,n,n#jalada,NC,sg,0,n,n#jalada,NP,sg,0,n,n#
orAo	orAo,NP,0,0,n,n#
TrAisAikela	TrAisAikela,NP,0,0,n,n#
daradia	daradia,NP,0,0,n,n#
yugapraYojane	yugapraYojane,NP,0,0,n,n#
rikalera	rikalera,NP,0,0,n,n#
nakashAlerA	nakashAla,NC,pl,0,n,n#nakashAla,NP,pl,0,n,n#nakashAla,NV,0,n,n#
unnaYanI	unnaYanI,NP,0,0,n,n#
skruTinira	skruTinira,NP,0,0,n,n#
?AluminA	?AluminA,NP,0,0,n,n#
