miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
pAThakAbhimukhI	pAThakAbhimukhI,NP,0,0,n,n#
bhUmikATio	bhUmikATio,NP,0,0,n,n#
syAmasa~Na	syAmasa~Na,NP,0,0,n,n#
shubhera	shubha,NC,sg,gen,n,n#shubha,NV,gen,n,n#shubha,NP,sg,gen,n,n#
paNyamUlye	paNyamUlye,NP,0,0,n,n#
naogA.NoYe	naogA.NoYe,NP,0,0,n,n#
khAjA.njIkhAnAYa	khAjA.njI,NC,sg,loc,y,n#khAjA.njI,NV,loc,y,n#
hanudera	hanu,NC,pl,gen,n,n#hanu,NP,pl,gen,n,n#hanu,NV,gen,n,n#
iTAbAsi	iTAbAsi,NP,0,0,n,n#
'karate	'karate,NP,0,0,n,n#
mAlI	mAlI,JQ,n,n,nnm#mAlI,NV,0,n,n#mAlI,NP,sg,0,n,n#mAlI,JJ,n,n#mAlI,NC,sg,0,n,n#
'sthAnIYarA	'sthAnIYarA,NP,0,0,n,n#
jhamAjhama	jhamAjhama,NP,0,0,n,n#
uikeTo	uikeTo,NP,0,0,n,n#
a~NgabhAra	a~NgabhAra,NP,0,0,n,n#
kAjiYAteo	kAjiYA,NC,0,loc,n,n#kAjiYA,NV,loc,n,n#
DAmbelaDorera	DAmbelaDorera,NP,0,0,n,n#
bhittimUla	bhittimUla,JJ,n,n#bhittimUla,JQ,n,n,nnm#
surAsa.ngrahera	surAsa.ngrahera,NP,0,0,n,n#
kIrtanIYA	kIrtanIYA,JQ,n,n,nnm#kIrtanIYA,NC,sg,0,n,n#kIrtanIYA,JJ,n,n#kIrtanIYA,NV,0,n,n#kIrtanIYA,NP,sg,0,n,n#
ruddhatAke	ruddhatAke,NP,0,0,n,n#
DhAlalena	DhAlA,VAUX,3,pst,sim,dcl,fin,n,n,y#DhAlA,VM,3,pst,sim,dcl,fin,n,n,y#
benake	bena,NC,sg,acc,n,n#bena,NV,acc,n,n#
abhyantarabhAge	abhyantarabhAge,NP,0,0,n,n#
RRijutAYa	RRijutA,NC,sg,0,n,n#RRijutA,NV,0,n,n#
bhyAkalAbha	bhyAkalAbha,NP,0,0,n,n#
ekAtmao	ekAtmao,NP,0,0,n,n#
bida-ea	bida-ea,NP,0,0,n,n#
ionahApa	ionahApa,NP,0,0,n,n#
kAThakalake	kAThakalake,NP,0,0,n,n#
hAiskulerai	hAiskulerai,NP,0,0,n,n#
ghaTeyAoYA	ghaTeyAoYA,NP,0,0,n,n#
sarbagrAsIa	sarbagrAsIa,NP,0,0,n,n#
AmalAderao	AmalA,NV,gen,n,n#AmalA,NP,pl,gen,n,n#AmalA,NC,pl,gen,n,n#
tirumAlabalakhana	tirumAlabalakhana,NP,0,0,n,n#
pradIpa)a	pradIpa)a,NP,0,0,n,n#
golApakhAsa-a-e	golApakhAsa-a-e,NP,0,0,n,n#
bIjasambhaba	bIjasambhaba,NP,0,0,n,n#
mAtRRikApUjAsUtre	mAtRRikApUjAsUtre,NP,0,0,n,n#
pailAne	pailAne,NP,0,0,n,n#
sakaleo	sakala,NC,0,0,n,n#sakala,NP,0,0,n,n#sakala,NV,0,n,n#
uchChbAsa-auTTalyera	uchChbAsa-auTTalyera,NP,0,0,n,n#
epeNDisAiTis	epeNDisAiTis,NP,0,0,n,n#
karDobAra	karDobAra,NP,0,0,n,n#
eDarenAla	eDarenAla,NP,0,0,n,n#
bAhutArA	bAhutArA,NP,0,0,n,n#
sAhAsaha	sAhAsaha,NP,0,0,n,n#
ghanamiTAre	ghanamiTAre,NP,0,0,n,n#
praYA	praYA,NP,0,0,n,n#
kanyAa-bhrUNahatyAra	kanyAa-bhrUNahatyAra,NP,0,0,n,n#
rAjya-sammelana	rAjya-sammelana,NP,0,0,n,n#
sTrAsaburgera	sTrAsaburgera,NP,0,0,n,n#
epakShe	epakShe,NP,0,0,n,n#
